                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.63776,                 1.1198,                0.90055,                0.95968,                 0.9958,                0.84211,                0.84575,                0.76286,                 0.9958,                0.84211,                0.84558,                0.69778,                0.57553,                  1.387,                 1.3413,                 1.0188,              0.0006932,              0.0006932,              0.0006932
                     35,                0.63656,                 0.8527,                0.82955,                0.94187,                0.99618,                0.84211,                0.84596,                0.75905,                0.99618,                0.84211,                0.84545,                0.68494,                0.60141,                 1.4931,                 1.2882,                0.98911,              0.0006536,              0.0006536,              0.0006536
                     36,                0.63277,                0.95077,                0.79396,                0.91044,                0.99619,                0.84211,                0.84589,                0.75972,                0.99619,                0.84211,                0.84555,                0.67609,                0.60321,                 1.5994,                 1.2189,                0.97613,               0.000614,               0.000614,               0.000614
                     37,                0.60005,                0.95741,                0.81992,                0.93054,                0.99619,                0.84211,                0.84589,                0.75972,                0.99619,                0.84211,                0.84555,                0.67609,                0.60321,                 1.5994,                 1.2189,                0.97613,              0.0005744,              0.0005744,              0.0005744
                     38,                0.54925,                0.86488,                0.79883,                0.93924,                 0.9962,                0.84211,                0.84607,                0.77203,                 0.9962,                0.84211,                0.84524,                0.68077,                0.56705,                 1.5642,                 1.0767,                0.95808,              0.0005348,              0.0005348,              0.0005348
                     39,                0.61307,                0.88289,                  0.751,                0.91837,                0.99645,                0.84211,                0.84606,                0.76658,                0.99645,                0.84211,                0.84524,                 0.6976,                0.51663,                 1.5112,                0.97688,                0.92596,              0.0004952,              0.0004952,              0.0004952
                     40,                0.61795,                 1.0594,                0.82426,                0.94697,                 0.9964,                0.84211,                0.84621,                0.75431,                 0.9964,                0.84211,                 0.8455,                0.71121,                0.49908,                 1.5291,                0.96981,                0.91764,              0.0004556,              0.0004556,              0.0004556
                     41,                0.48976,                0.73474,                 1.0212,                0.90351,                 0.9964,                0.84211,                0.84621,                0.75431,                 0.9964,                0.84211,                 0.8455,                0.71121,                0.49908,                 1.5291,                0.96981,                0.91764,               0.000416,               0.000416,               0.000416
                     42,                0.49899,                0.75919,                0.93214,                0.88309,                0.99589,                0.84211,                0.84736,                0.76313,                0.99589,                0.84211,                0.84553,                0.73651,                0.48924,                 1.5962,                0.88326,                0.90821,              0.0003764,              0.0003764,              0.0003764
                     43,                 0.4357,                0.78263,                0.92091,                0.90093,                0.99541,                0.84211,                 0.8503,                0.78383,                0.99541,                0.84211,                0.84553,                0.73006,                0.48385,                 1.6407,                0.90259,                0.89541,              0.0003368,              0.0003368,              0.0003368
                     44,                0.45473,                0.69962,                0.90823,                 0.8697,                0.99479,                0.84211,                0.90334,                0.81207,                0.99479,                0.84211,                0.84552,                0.72075,                0.48501,                  1.622,                0.97944,                 0.8913,              0.0002972,              0.0002972,              0.0002972
                     45,                0.42651,                0.66696,                0.92134,                0.85457,                0.99479,                0.84211,                0.90334,                0.81207,                0.99479,                0.84211,                0.84552,                0.72075,                0.48501,                  1.622,                0.97944,                 0.8913,              0.0002576,              0.0002576,              0.0002576
                     46,                0.49799,                0.72382,                0.95942,                0.86072,                0.99418,                0.84211,                0.90485,                0.80935,                0.99418,                0.84211,                0.84551,                0.71209,                 0.4704,                 1.6211,                0.97527,                0.89399,               0.000218,               0.000218,               0.000218
                     47,                0.43498,                 0.6689,                0.92061,                0.86435,                0.99372,                0.84211,                0.91152,                0.81521,                0.99372,                0.84211,                0.84551,                 0.7029,                0.46098,                 1.6215,                0.93639,                0.90952,              0.0001784,              0.0001784,              0.0001784
                     48,                 0.4177,                0.68709,                0.89707,                0.85388,                0.94412,                0.88948,                0.91757,                0.81879,                0.99325,                0.84211,                 0.8455,                0.70336,                0.45888,                 1.5979,                  0.895,                 0.9195,              0.0001388,              0.0001388,              0.0001388
                     49,                0.41491,                0.69637,                0.89799,                0.89721,                0.94412,                0.88948,                0.91757,                0.81879,                0.99325,                0.84211,                 0.8455,                0.70336,                0.45888,                 1.5979,                  0.895,                 0.9195,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 0.4169,                0.66322,                0.87748,                 0.8392,                0.94415,                0.89002,                 0.9236,                0.83255,                 0.9928,                0.84211,                0.84549,                0.70624,                  0.463,                 1.5714,                0.89081,                0.92139,               5.96e-05,               5.96e-05,               5.96e-05
